e_number,article_number,name,category,series,size,color,unit,length_meters,active
1270911,NAL130W25020B,KABL VIT HONA SV +FRI+FRI RQQ SKÄ.3G2,5 2M,cable,EnstoNet,3G2.5,white-black,m,2,true
1270912,NAL130W25030B,KABL VIT HONA SV +FRI+FRI RQQ SKÄ.3G2,5 3M,cable,EnstoNet,3G2.5,white-black,m,3,true
1270760,NAL310W15010B,KABL VIT HANE SV +FRI RQQ SKÄ.3G1,5 1M,cable,EnstoNet,3G1.5,white-black,m,1,true
1270927,NAL310W15020B,KABL VIT HANE SV +FRI RQQ SKÄ.3G1,5 2M,cable,EnstoNet,3G1.5,white-black,m,2,true
1270928,NAL310W15030B,KABL VIT HANE SV +FRI RQQ SKÄ.3G1,5 3M,cable,EnstoNet,3G1.5,white-black,m,3,true
1270763,NAL310W25010B,KABL VIT HANE SV +FRI RQQ SKÄ.3G2,5 1M,cable,EnstoNet,3G2.5,white-black,m,1,true
1270931,NAL310W25020B,KABL VIT HANE SV +FRI RQQ SKÄ.3G2,5 2M,cable,EnstoNet,3G2.5,white-black,m,2,true
1270932,NAL310W25030B,KABL VIT HANE SV +FRI RQQ SKÄ.3G2,5 3M,cable,EnstoNet,3G2.5,white-black,m,3,true
1270771,NAL330W15020B,KABL VIT HAN+HON SV RQQ SKÄ. 3G1,5 SV 2M,cable,EnstoNet,3G1.5,white-black,m,2,true
1270772,NAL330W15030B,KABL VIT HAN+HON SV RQQ SKÄ. 3G1,5 SV 3M,cable,EnstoNet,3G1.5,white-black,m,3,true
